"Loja";"Name Searched";"Name Found";"Price";"Price Float";"URL"
"Nintendo eShop";"Animal Crossing New Leaf";"Animal Crossing: New Leaf";"$29.99*";"R$ 114,66";"http://www.nintendo.com/games/detail/7s_LzOZI18nIHym0yObW_vYCzfwsRssn"
"Americanas";"Animal Crossing New Leaf";"Game Animal Crossing: New Leaf - 3DS";"R$ 219,90";"R$ 219,90";"http://www.americanas.com.br/produto/113720400/game-animal-crossing-new-leaf-3ds"
"Big Boy Games";"Animal Crossing New Leaf";"3DS - Animal Crossing: New Leaf";"R$ 160,59";"R$ 160,59";"http://www.bigboygames.com.br/pesquisa/?p=Animal+Crossing+New+Leaf"
"Balão da Informática";"Animal Crossing New Leaf";"-";"-";"R$ 9.999,99";"https://www.balaodainformatica.com.br/Produtos/Buscar/?busca=<BUSCA>"
"Casas Bahia";"Animal Crossing New Leaf";"Jogo Animal Crossing: New Leaf - 3DS";"219,90";"R$ 219,90";"http://buscas.casasbahia.com.br/search?p=R&srid=S2-1IADP&lbc=casasbahia&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.casasbahia.com.br%2f2182685%3f&rk=1&uid=459734265&sid=2&ts=custom&rsc=MepoyQo3WdYwGm9I&method=and&isort=score&view=grid"
"Casas Bahia";"Animal Crossing New Leaf";"3DS - Animal Crossing: New Leaf";"Indisponível";"R$ 9.999,99";"http://buscas.casasbahia.com.br/search?p=R&srid=S2-1IADP&lbc=casasbahia&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.casasbahia.com.br%2f6524777%3f&rk=2&uid=459734265&sid=2&ts=custom&rsc=8QZgQWiHZ5cJ1rkE&method=and&isort=score&view=grid"
"Extra";"Animal Crossing New Leaf";"Jogo Animal Crossing: New Leaf - 3DS";"219,90";"R$ 219,90";"http://buscando.extra.com.br/search?p=R&srid=S1-1DFWP&lbc=extra&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.extra.com.br%2f2182685%3f&rk=1&uid=459747372&sid=2&ts=custom&rsc=ntyZ5YAzJXU8e4To&method=and&isort=score&view=grid"
"Extra";"Animal Crossing New Leaf";"3DS - Animal Crossing: New Leaf";"Indisponível";"R$ 9.999,99";"http://buscando.extra.com.br/search?p=R&srid=S1-1DFWP&lbc=extra&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.extra.com.br%2f6524777%3f&rk=2&uid=459747372&sid=2&ts=custom&rsc=b1pbFq6tPimjAeuA&method=and&isort=score&view=grid"
"E-Virtua";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3DS - -";"R$ 139,90";"R$ 139,90";"http://www.evirtua.com.br//animal-crossing-new-leaf-3ds/3237-01"
"Fast Games";"Animal Crossing New Leaf";"-";"-";"R$ 9.999,99";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"FNAC";"Animal Crossing New Leaf";"-";"-";"R$ 9.999,99";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"Animal Crossing New Leaf";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"Animal Crossing New Leaf";"ANIMAL CROSSING - NEW LEAF (3DS)";"Indisponível";"R$ 9.999,99";"http://www.livrariacultura.com.br/p/animal-crossing-new-leaf-3ds-42124012"
"Mula Games";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3DS";"189.9";"R$ 189,90";"http://www.mulagames.com.br/Animal-Crossing--New-Leaf-3DS/prod-1385764/"
"Ponto Frio";"Animal Crossing New Leaf";"Jogo Animal Crossing: New Leaf - 3DS";"219,90";"R$ 219,90";"http://search.pontofrio.com.br/search?p=R&srid=S1-2DFWP&lbc=pontofrio-br&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.pontofrio.com.br%2f2182685%3f&rk=1&uid=459879258&sid=2&ts=custom&rsc=EPNVzR7Au3QM9OV3&method=and&isort=score&view=grid"
"Ponto Frio";"Animal Crossing New Leaf";"3DS - Animal Crossing: New Leaf";"Indisponível";"R$ 9.999,99";"http://search.pontofrio.com.br/search?p=R&srid=S1-2DFWP&lbc=pontofrio-br&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.pontofrio.com.br%2f6524777%3f&rk=2&uid=459879258&sid=2&ts=custom&rsc=xuXoPEjIwTKs4jEO&method=and&isort=score&view=grid"
"Ricardo Eletro";"Animal Crossing New Leaf";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Animal Crossing New Leaf";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"Animal Crossing New Leaf";"Jogo Animal Crossing: New Leaf - 3DS";"Indisponível";"R$ 9.999,99";"http://ww2.shopfacil.com.br/jogo-animal-crossing--new-leaf---3ds-2373991/p"
"Shop Time";"Animal Crossing New Leaf";"Game Animal Crossing: New Leaf - 3DS";"R$ 219,90";"R$ 219,90";"http://www.shoptime.com.br/produto/113720400/game-animal-crossing-new-leaf-3ds"
"ShopB";"Animal Crossing New Leaf";"-";"-";"R$ 9.999,99";"http://www.shopb.com.br/buscar?q=<BUSCA>"
"Submarino";"Animal Crossing New Leaf";"Game Animal Crossing: New Leaf - 3DS";"R$ 219,90";"R$ 219,90";"http://www.submarino.com.br/produto/113720400/game-animal-crossing-new-leaf-3ds"
"Nintendo eShop";"Bravely Default";"Bravely Default";"$39.99*";"R$ 152,90";"http://www.nintendo.com/games/detail/_TC4w2TeJY7qrqBL64gpszI_65tjrVyp"
"Americanas";"Bravely Default";"Game Bravely Default - 3Ds";"R$ 229,90";"R$ 229,90";"http://www.americanas.com.br/produto/117676784/game-bravely-default-3ds"
"Big Boy Games";"Bravely Default";"3DS - Bravely Default";"R$ 199,99";"R$ 199,99";"http://www.bigboygames.com.br/3ds-bravely-default-p6046/"
"Balão da Informática";"Bravely Default";"-";"-";"R$ 9.999,99";"https://www.balaodainformatica.com.br/Produtos/Buscar/?busca=<BUSCA>"
"Casas Bahia";"Bravely Default";"Bravely Default N3DS";"229,90";"R$ 229,90";"http://buscas.casasbahia.com.br/search?w=Bravely+Default"
"Extra";"Bravely Default";"Bravely Default N3DS";"229,90";"R$ 229,90";"http://buscando.extra.com.br/search?p=R&srid=S1-4DFWP&lbc=extra&w=Bravely%20Default&url=http%3a%2f%2fproduto.extra.com.br%2f3379391%3f&rk=1&uid=460036936&sid=2&ts=custom&rsc=HSJA9U97D6cSEg1B&method=and&isort=score&view=grid"
"E-Virtua";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"FNAC";"Bravely Default";"-";"-";"R$ 9.999,99";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"Bravely Default";"BRAVELY DEFAULT (3DS)";"Indisponível";"R$ 9.999,99";"http://www.livrariacultura.com.br/p/bravely-default-3ds-42196723"
"Livraria Cultura";"Bravely Default";"BRAVELY DEFAULT - COLLECTOR'S EDITION (3DS)";"Indisponível";"R$ 9.999,99";"http://www.livrariacultura.com.br/p/bravely-default-collectors-edition-3ds-42196726"
"Magazine Luiza";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.magazineluiza.com.br/busca/<BUSCA>/"
"Mula Games";"Bravely Default";"Bravely Default - 3DS";"199.9";"R$ 199,90";"http://www.mulagames.com.br/Bravely-Default-3DS/prod-1967717/"
"Net Shoes";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.netshoes.com.br/search?Ntt=<BUSCA>"
"Ponto Frio";"Bravely Default";"-";"-";"R$ 9.999,99";"http://search.pontofrio.com.br/search?w=<BUSCA>"
"Ricardo Eletro";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"Saraiva";"Bravely Default";"Bravely Default - 3Ds";"149,00";"R$ 149,00";"http://busca.saraiva.com.br/click?apikey=saraiva-v5&search_id=6564ad50-b11f-48b7-a0e1-bda0428e3705&pid=6744545&page=1&prodIdx=0&q=Bravely+Default"
"Shop Facil";"Bravely Default";"-";"-";"R$ 9.999,99";"http://ww2.shopfacil.com.br/<BUSCA>"
"Shop Time";"Bravely Default";"Game Bravely Default - 3Ds";"R$ 229,90";"R$ 229,90";"http://www.shoptime.com.br/produto/117676784/game-bravely-default-3ds"
"ShopB";"Bravely Default";"Jogo Bravely Default - 3DS";"R$ 299,99";"R$ 299,99";"http://www.shopb.com.br/jogo-bravely-default-3ds-7315365"
"Submarino";"Bravely Default";"Game Bravely Default - 3Ds";"R$ 229,90";"R$ 229,90";"http://www.submarino.com.br/produto/117676784/game-bravely-default-3ds"
"Walmart";"Bravely Default";"Jogo Bravely Default Nintendo 3DS";"Indisponível";"R$ 9.999,99";"http://www.walmart.com.br//jogo-bravely-default-nintendo-3ds/3338733/pr"
"Walmart";"Bravely Default";"Jogo Nintendo 3DS Bravely Default Square Enix";"Indisponível";"R$ 9.999,99";"http://www.walmart.com.br//jogo-nintendo-3ds-bravely-default-square-enix/3278031/pr"
"Nintendo eShop";"Devil Survivor Overclocked";"Shin Megami Tensei: Devil Survivor Overclocked";"$29.99";"R$ 114,66";"http://www.nintendo.com/games/detail/tKDJ7tyZ-olVhVBW9mswLhlRxJr0mcZG"
"Americanas";"Devil Survivor Overclocked";"Game Shin Megami Tensei: Devil Survivor Overclocked Atlus - 3DS";"R$ 189,90";"R$ 189,90";"http://www.americanas.com.br/produto/110349692/game-shin-megami-tensei-devil-survivor-overclocked-atlus-3ds"
