"Loja";"Name Searched";"Name Found";"Price";"Price Float";"URL"
"Nintendo eShop";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.nintendo.com/json/content/get/game/filter?&qterm=<BUSCA>"
"PlayStation Store";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"https://store.playstation.com/#!/pt-br/pesquisar/q=<BUSCA>"
"Big Boy Games";"Digimon Story Cyber Sleuth";"Game - Digimon Story Cyber Sleuth - PS4";"R$ 89,90";"R$ 89,90";"http://www.bigboygames.com.br/pesquisa/?p=Digimon+Story+Cyber+Sleuth"
"Balão da Informática";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.balaodainformatica.com.br/digimon?&utmi_p=_Produtos_Buscar_&utmi_pc=BuscaFullText&utmi_cp=<BUSCA>"
"E-Virtua";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Kabum";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Ricardo Eletro";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"Zig Store";"Digimon Story Cyber Sleuth";"Game - Digimon Story Cyber Sleuth - PS4";"R$ 89,90";"R$ 89,90";"http://www.zigstore.com.br/pesquisa/?p=Digimon+Story+Cyber+Sleuth"
"PlayStation Store";"crisis core";"-";"-";"R$ 9.999,99";"https://store.playstation.com/#!/pt-br/pesquisar/q=<BUSCA>"
"Americanas";"crisis core";"-";"-";"R$ 9.999,99";"http://busca.americanas.com.br/busca.php?q=<BUSCA>"
"Big Boy Games";"crisis core";"PSP - Crisis Core Final Fantasy VII";"R$ 139,99";"R$ 139,99";"http://www.bigboygames.com.br/pesquisa/?p=crisis+core"
"Balão da Informática";"crisis core";"-";"-";"R$ 9.999,99";"http://www.balaodainformatica.com.br/digimon?&utmi_p=_Produtos_Buscar_&utmi_pc=BuscaFullText&utmi_cp=<BUSCA>"
"E-Virtua";"crisis core";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"crisis core";"-";"-";"R$ 9.999,99";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"FNAC";"crisis core";"-";"-";"R$ 9.999,99";"http://www.fnac.com.br/<BUSCA>"
"Kabum";"crisis core";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"crisis core";"";"Indisponível";"R$ 9.999,99";"http://www.livrariacultura.com.br/busca;_lcid=GVx4lRVkAsqiqaX55lpn4kw7WDHDQ3WvQwM-ZeZx0_A1DS1TVKtw!1424859941?Ntt=WALSH%2C+DOUG&Ntk=product.collaborator.name"
"Mula Games";"crisis core";"-";"-";"R$ 9.999,99";"https://www.mulagames.com.br/busca-busca_produtos?nome_produto=<BUSCA>"
"Ricardo Eletro";"crisis core";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"crisis core";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"crisis core";"-";"-";"R$ 9.999,99";"http://ww2.shopfacil.com.br/<BUSCA>"
"Walmart";"crisis core";"Crisis Core - Final Fantasy VII - PSP";"Indisponível";"R$ 9.999,99";"http://www.walmart.com.br///www.walmart.com.br/crisis-core-final-fantasy-vii-psp/4166909/pr"
"Zig Store";"crisis core";"PSP - Crisis Core Final Fantasy VII";"R$ 139,99";"R$ 139,99";"http://www.zigstore.com.br/pesquisa/?p=crisis+core"
"Nintendo eShop";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.nintendo.com/json/content/get/game/filter?&qterm=<BUSCA>"
"PlayStation Store";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"https://store.playstation.com/#!/pt-br/pesquisar/q=<BUSCA>"
"Big Boy Games";"Tactics Ogre PSP";"PSP - Tactics Ogre: Let Us Cling Together";"R$ 110,99";"R$ 110,99";"http://www.bigboygames.com.br/pesquisa/?p=Tactics+Ogre+PSP"
"Balão da Informática";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.balaodainformatica.com.br/digimon?&utmi_p=_Produtos_Buscar_&utmi_pc=BuscaFullText&utmi_cp=<BUSCA>"
"E-Virtua";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"FNAC";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.fnac.com.br/<BUSCA>"
"Kabum";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Mula Games";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"https://www.mulagames.com.br/busca-busca_produtos?nome_produto=<BUSCA>"
"Net Shoes";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.netshoes.com.br/search?Ntt=<BUSCA>"
"Ricardo Eletro";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
