"Loja";"Name Searched";"Name Found";"Price";"Price Float";"URL"
"Nintendo eShop";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.nintendo.com/json/content/get/game/filter?&qterm=<BUSCA>"
"Americanas";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://busca.americanas.com.br/busca.php?q=<BUSCA>"
"Big Boy Games";"Digimon Story Cyber Sleuth";"Game - Digimon Story Cyber Sleuth - PS4";"R$ 169,99";"R$ 169,99";"http://www.bigboygames.com.br/pesquisa/?p=Digimon+Story+Cyber+Sleuth"
"E-Virtua";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"FNAC";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.livrariacultura.com.br/busca?N=0&Ntt=<BUSCA>"
"Mula Games";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.mulagames.com.br/produtos-index/catalogo_produtos/-/-/<BUSCA>/-/-/-/-/-/"
"RiHappy";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"Shop Time";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://busca.shoptime.com.br/busca.php?q=<BUSCA>"
"Submarino";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://busca.submarino.com.br/busca.php?q=<BUSCA>"
"Walmart";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.walmart.com.br/busca/?ft=<BUSCA>&PS=20"
