"Loja";"Name Searched";"Name Found";"Price";"Price Float";"URL"
"Nintendo eShop";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.nintendo.com/json/content/get/game/filter?&qterm=<BUSCA>"
"PlayStation Store";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"https://store.playstation.com/#!/pt-br/pesquisar/q=<BUSCA>"
"Balão da Informática";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.balaodainformatica.com.br/digimon?&utmi_p=_Produtos_Buscar_&utmi_pc=BuscaFullText&utmi_cp=<BUSCA>"
"E-Virtua";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"Kabum";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Ricardo Eletro";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Digimon Story Cyber Sleuth";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"PlayStation Store";"crisis core";"-";"-";"R$ 9.999,99";"https://store.playstation.com/#!/pt-br/pesquisar/q=<BUSCA>"
"Balão da Informática";"crisis core";"-";"-";"R$ 9.999,99";"http://www.balaodainformatica.com.br/digimon?&utmi_p=_Produtos_Buscar_&utmi_pc=BuscaFullText&utmi_cp=<BUSCA>"
"E-Virtua";"crisis core";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"crisis core";"-";"-";"R$ 9.999,99";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"FNAC";"crisis core";"-";"-";"R$ 9.999,99";"http://www.fnac.com.br/<BUSCA>"
"Kabum";"crisis core";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"crisis core";"CRISIS CORE - FINAL FANTASY VII OFFICIAL STRATEGY";"Indisponível";"R$ 9.999,99";"http://www.livrariacultura.com.br/p/crisis-core-final-fantasy-vii-official-strategy-2502186"
"Mula Games";"crisis core";"-";"-";"R$ 9.999,99";"https://www.mulagames.com.br/busca-busca_produtos?nome_produto=<BUSCA>"
"Ricardo Eletro";"crisis core";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"crisis core";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"crisis core";"-";"-";"R$ 9.999,99";"http://ww2.shopfacil.com.br/<BUSCA>"
"Walmart";"crisis core";"Crisis Core - Final Fantasy VII - PSP";"Indisponível";"R$ 9.999,99";"http://www.walmart.com.br//www.walmart.com.br/crisis-core-final-fantasy-vii-psp/4166909/pr"
"Nintendo eShop";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.nintendo.com/json/content/get/game/filter?&qterm=<BUSCA>"
"PlayStation Store";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"https://store.playstation.com/#!/pt-br/pesquisar/q=<BUSCA>"
"Balão da Informática";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.balaodainformatica.com.br/digimon?&utmi_p=_Produtos_Buscar_&utmi_pc=BuscaFullText&utmi_cp=<BUSCA>"
"E-Virtua";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"FNAC";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.fnac.com.br/<BUSCA>"
"Kabum";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Mula Games";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"https://www.mulagames.com.br/busca-busca_produtos?nome_produto=<BUSCA>"
"Net Shoes";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.netshoes.com.br/search?Ntt=<BUSCA>"
"Ricardo Eletro";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://ww2.shopfacil.com.br/<BUSCA>"
"ShopB";"Tactics Ogre PSP";"-";"-";"R$ 9.999,99";"http://www.shopb.com.br/buscar?q=<BUSCA>"
"Nintendo eShop";"Final Fantasy Tactics";"FINAL FANTASY Tactics Advance";"$7.99 $7.99";"R$ 9.999,99";"http://www.nintendo.com/games/detail/A3N2YJR-PPLD-Bh1gLvCm7BhOixIDb9B"
"Nintendo eShop";"Final Fantasy Tactics";"Final Fantasy Tactics A2: Grimoire of the Rift";"";"R$ 9.999,99";"http://www.nintendo.com/games/detail/_avN5V1KDCAtN5Sh4Tm4YsuNzaHVTx8w"
"PlayStation Store";"Final Fantasy Tactics";"-";"-";"R$ 9.999,99";"https://store.playstation.com/#!/pt-br/pesquisar/q=<BUSCA>"
