"Loja";"Name Searched";"Name Found";"Price";"Price Float";"URL"
"Nintendo eShop";"Animal Crossing New Leaf";"Animal Crossing: New Leaf";"$29.99*";"114.663765";"http://www.nintendo.com/games/detail/7s_LzOZI18nIHym0yObW_vYCzfwsRssn"
"Americanas";"Animal Crossing New Leaf";"Game Animal Crossing: New Leaf - 3DS";"R$ 219,90";"219.9";"http://www.americanas.com.br/produto/113720400/game-animal-crossing-new-leaf-3ds"
"Big Boy Games";"Animal Crossing New Leaf";"3DS - Animal Crossing: New Leaf";"R$ 160,59";"160.59";"http://www.bigboygames.com.br/pesquisa/?p=Animal+Crossing+New+Leaf"
"Balão da Informática";"Animal Crossing New Leaf";"-";"-";"0";"https://www.balaodainformatica.com.br/Produtos/Buscar/?busca=<BUSCA>"
"Casas Bahia";"Animal Crossing New Leaf";"Jogo Animal Crossing: New Leaf - 3DS";"219,90";"219.9";"http://buscas.casasbahia.com.br/search?p=R&srid=S2-3IADP&lbc=casasbahia&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.casasbahia.com.br%2f2182685%3f&rk=1&uid=400584942&sid=2&ts=custom&rsc=OH9ktpq81lPyz-XS&method=and&isort=score&view=grid"
"Casas Bahia";"Animal Crossing New Leaf";"3DS - Animal Crossing: New Leaf";"Indisponível";"9999.99";"http://buscas.casasbahia.com.br/search?p=R&srid=S2-3IADP&lbc=casasbahia&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.casasbahia.com.br%2f6524777%3f&rk=2&uid=400584942&sid=2&ts=custom&rsc=LagBXJNuKFtGmWzU&method=and&isort=score&view=grid"
"Extra";"Animal Crossing New Leaf";"Jogo Animal Crossing: New Leaf - 3DS";"219,90";"219.9";"http://buscando.extra.com.br/search?p=R&srid=S2-6IADP&lbc=extra&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.extra.com.br%2f2182685%3f&rk=1&uid=400605076&sid=2&ts=custom&rsc=4xJcQm3ULFV%3aQh3M&method=and&isort=score&view=grid"
"Extra";"Animal Crossing New Leaf";"3DS - Animal Crossing: New Leaf";"Indisponível";"9999.99";"http://buscando.extra.com.br/search?p=R&srid=S2-6IADP&lbc=extra&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.extra.com.br%2f6524777%3f&rk=2&uid=400605076&sid=2&ts=custom&rsc=2dKrQFOLhnF8Ohgn&method=and&isort=score&view=grid"
"E-Virtua";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3DS - -";"R$ 139,90";"139.9";"http://www.evirtua.com.br//animal-crossing-new-leaf-3ds/3237-01"
"Fast Games";"Animal Crossing New Leaf";"-";"-";"0";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"FNAC";"Animal Crossing New Leaf";"-";"-";"0";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"Animal Crossing New Leaf";"-";"-";"0";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"Animal Crossing New Leaf";"ANIMAL CROSSING - NEW LEAF (3DS)";"Indisponível";"9999.99";"http://www.livrariacultura.com.br/p/animal-crossing-new-leaf-3ds-42124012"
"Mula Games";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3DS";"189.9";"189.9";"http://www.mulagames.com.br/Animal-Crossing--New-Leaf-3DS/prod-1385764/"
"Ponto Frio";"Animal Crossing New Leaf";"Jogo Animal Crossing: New Leaf - 3DS";"219,90";"219.9";"http://search.pontofrio.com.br/search?p=R&srid=S2-7IADP&lbc=pontofrio-br&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.pontofrio.com.br%2f2182685%3f&rk=1&uid=400746886&sid=2&ts=custom&rsc=hDgdS6Dtp3sYFEd4&method=and&isort=score&view=grid"
"Ponto Frio";"Animal Crossing New Leaf";"3DS - Animal Crossing: New Leaf";"Indisponível";"9999.99";"http://search.pontofrio.com.br/search?p=R&srid=S2-7IADP&lbc=pontofrio-br&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.pontofrio.com.br%2f6524777%3f&rk=2&uid=400746886&sid=2&ts=custom&rsc=0lmWYtUWHP2wKFvB&method=and&isort=score&view=grid"
"Ricardo Eletro";"Animal Crossing New Leaf";"-";"-";"0";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Animal Crossing New Leaf";"-";"-";"0";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"Animal Crossing New Leaf";"Jogo Animal Crossing: New Leaf - 3DS";"Indisponível";"9999.99";"http://ww2.shopfacil.com.br/jogo-animal-crossing--new-leaf---3ds-2373991/p"
"Shop Time";"Animal Crossing New Leaf";"Game Animal Crossing: New Leaf - 3DS";"R$ 219,90";"219.9";"http://www.shoptime.com.br/produto/113720400/game-animal-crossing-new-leaf-3ds"
"ShopB";"Animal Crossing New Leaf";"-";"-";"0";"http://www.shopb.com.br/buscar?q=<BUSCA>"
"Submarino";"Animal Crossing New Leaf";"Game Animal Crossing: New Leaf - 3DS";"R$ 219,90";"219.9";"http://www.submarino.com.br/produto/113720400/game-animal-crossing-new-leaf-3ds"
"Nintendo eShop";"Bravely Default";"Bravely Default";"$39.99*";"152.89777";"http://www.nintendo.com/games/detail/_TC4w2TeJY7qrqBL64gpszI_65tjrVyp"
"Americanas";"Bravely Default";"Game Bravely Default - 3Ds";"R$ 229,90";"229.9";"http://www.americanas.com.br/produto/117676784/game-bravely-default-3ds"
"Big Boy Games";"Bravely Default";"3DS - Bravely Default - USADO";"R$ 98,09";"98.09";"http://www.bigboygames.com.br/3ds-bravely-default-usado-p7462/"
"Big Boy Games";"Bravely Default";"3DS - Bravely Default";"R$ 199,99";"199.99";"http://www.bigboygames.com.br/3ds-bravely-default-p6046/"
"Balão da Informática";"Bravely Default";"-";"-";"0";"https://www.balaodainformatica.com.br/Produtos/Buscar/?busca=<BUSCA>"
"Casas Bahia";"Bravely Default";"Bravely Default N3DS";"229,90";"229.9";"http://buscas.casasbahia.com.br/search?w=Bravely+Default"
"Extra";"Bravely Default";"Bravely Default N3DS";"229,90";"229.9";"http://buscando.extra.com.br/search?p=R&srid=S1-4IADP&lbc=extra&w=Bravely%20Default&url=http%3a%2f%2fproduto.extra.com.br%2f3379391%3f&rk=1&uid=400944421&sid=2&ts=custom&rsc=p4So73ns7Ll7dnYT&method=and&isort=score&view=grid"
"E-Virtua";"Bravely Default";"-";"-";"0";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Bravely Default";"-";"-";"0";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"FNAC";"Bravely Default";"-";"-";"0";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"Bravely Default";"-";"-";"0";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"Bravely Default";"BRAVELY DEFAULT (3DS)";"Indisponível";"9999.99";"http://www.livrariacultura.com.br/p/bravely-default-3ds-42196723"
"Livraria Cultura";"Bravely Default";"BRAVELY DEFAULT - COLLECTOR'S EDITION (3DS)";"Indisponível";"9999.99";"http://www.livrariacultura.com.br/p/bravely-default-collectors-edition-3ds-42196726"
"Magazine Luiza";"Bravely Default";"-";"-";"0";"http://www.magazineluiza.com.br/busca/<BUSCA>/"
"Mula Games";"Bravely Default";"Bravely Default - 3DS";"199.9";"199.9";"http://www.mulagames.com.br/Bravely-Default-3DS/prod-1967717/"
"Net Shoes";"Bravely Default";"-";"-";"0";"http://www.netshoes.com.br/search?Ntt=<BUSCA>"
"Ponto Frio";"Bravely Default";"-";"-";"0";"http://search.pontofrio.com.br/search?w=<BUSCA>"
"Ricardo Eletro";"Bravely Default";"-";"-";"0";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Bravely Default";"-";"-";"0";"http://www.rihappy.com.br/<BUSCA>"
